log_id,timestamp,hostname,src_ip,dst_ip,src_port,dst_port,protocol,action,bytes_sent,bytes_received,session_id,threat_flag,rule_name,geo_country
FW000019396,20/08/2026 21:31,VDR-11494,999.999.999.999,10-21.93,25,NA,tcp,allow,37060184,15493314,,False,NA,unknown
FW000024924,2026-09-08 01:05:04,VDR-11999,192.168.217.6,UNKNOWN,25,22,udp,deny,,6823662,SID122442,False,ALLOW_WEB,CN
FW000017708,18-Aug-2026 07:12:08,VDR-12823,192.168.36.176,172.16.164.62,443,25,other,deny,13767894,35959647,SID398629,0,NA,CN
FW000022559,08-16-2026 11:11:41 AM,LPT-10414,UNKNOWN,10.50.186,3306,80,udp,allow,13084174,NA,SID-878412,N,ALLOW_WEB,
FW000027566,,VDR-10489,192.168.245.10,192.168.67.145,3389,80,tcp,allow,31374454,42624614,SID595221,0,ALLOW_INTERNAL_DNS,RU
FW000019422,2026-08-07T10:38:53,WS-12913,10.153.73,172.16.48.60,NA,,udp,allow,6477884,29134564,SID390749,False,BLOCK_EXTERNAL_RDP,
FW000005219,1786786131,LPT-12575,192.168.51.100,172.16.75.59,3389,22,tcp,allow,16075423,10802819,SID768286,False,MONITOR_DB_ACCESS,
FW000012543,2026-08-02 10:44:07,LPT-12597,172.16.31.14,216.109.203.198,22,-5,other,deny,1705068,3019487,SID633485,N,block_tor_exit,IN
FW000007556,19/08/2026 09:27,VDR-12465,10.117.241,172.16.3.126,443,443,other,allow,31530947,28341918,SID621222,False,ALLOW_INTERNAL_DNS,
FW000006836,1786331511,WS-11442,UNKNOWN,172.16.12.70,8443,3389,other,deny,17008932,34016110,SID110302,False,block_tor_exit,IN
FW000016821,09/09/2026 07:45,VDR-11091,10.184.55,156.10.141.38.0,,3306,tcp,allow,37980436,34197716,sid119564,False,DENY_TELNET,unknown
FW000009483,20/08/2026,VDR-10740,172.16.176.126,192.168.176.87,NA,-4,tcp,allow,22124953,32180153,SID154338,False,ALLOW_WEB,IN
FW000014844,16/08/2026,,172.16.235.56,101.145.78.155,NA,3306,udp,allow,45648625,11026557,SID999774,N,,US
FW000016637,08-08-2026 05:13:46 PM,,172.16.242.164,172.16.170.,3306,78703,other,allow,40279097,620980,SID581567,no,UNKNOWN,IN
FW000010002,2026-08-23T19:12:26,VDR-10278,UNKNOWN,,53,445,icmp,allow,40863006,263790,SID361728,False,ALLOW_WEB,CN
FW000012103,27/08/2026 23:06,LPT-12231,999.999.999.999,10.94.110,-1,,other,allow,4510732,31653496,SID522198,N,NA,IN
FW000023762,,WS-12902,UNKNOWN,189.72.46.97,84048,445,tcp,allow,18419230,8562954,SID821602,False,UNKNOWN,RU
FW000010243,2026-09-08 12:43:01,VDR-10735,999.999.999.999,,443,445,other,allow,39399009,45643710,,False,ALLOW_INTERNAL_DNS,CN
FW000016419,06/09/2026,LPT-11138,132-52.188.38,10.175.112,8080,80529,icmp,allow,22469301,26318973,SID944709,0,,
FW000016085,22/08/2026,WS-10878,10.150.204,999.999.999.999,445,3306,tcp,deny,47895087,-68958,SID901254,N,,
FW000002010,09-02-2026 02:27:59 AM,VDR-10222,172.16.10.213,172.16.17.,22,3306,tcp,allow,46422639,8455991,SID-493161,N,MONITOR_DB_ACCESS,
FW000018098,2026-08-12T13:59:29,VDR-11927,,999.999.999.999,76417,3389,tcp,allow,,49501142,NA,N,,CN
FW000024231,1787068639,WS-10036,172.16.81.226,22.45.33.226,3306,8080,udp,allow,1119535,49407356,SID826123,N,,CN
FW000029944,2026-08-14 05:53:13,VDR-10035,10.145.63,10.2.124.0,3306,22,udp,allow,NA,26572596,SID212194,N,DENY_TELNET,RU
FW000027337,,VDR-12513,10.53.34.0,10.236.144,99622,22,tcp,allow,3866855,40903083,SID993036,no,MONITOR_DB_ACCESS,
FW000017809,12/08/2026 21:26,VDR-10611,137.144.198.79,72-80.209.40,,3389,other,allow,28432888,32585454,SID535128,False,ALLOW_INTERNAL_DNS,
FW000023405,21-Aug-2026 18:32:52,WS-11108,172.16.232.92,207.142.86.138,135,25,tcp,allow,684738,,,True,allow_office_apps,CN
FW000008539,03/08/2026,,220.38.192.191.0,999.999.999.999,443,25,other,allow,26905208,12423698,SID296803,no,ALLOW_WEB,RU
FW000003800,28/08/2026,LPT-11299,999.999.999.999,10.96.232,NA,3389,other,allow,38911739,41161430,SID787610,False,UNKNOWN,US
FW000010782,,LPT-10842,10.183.42,212.163.80.67,8443,53,other,allow,36830616,30278320,SID535530,False,MONITOR_DB_ACCESS,
FW000009004,2026-09-04 16:06:40,,,UNKNOWN,1433,3389,tcp,allow,43780920,41194567,SID916554,True,block_tor_exit,unknown
FW000023602,27-Aug-2026 10:30:48,LPT-12843,10.9.18,172.151.155.186,443,8080,tcp,deny,NA,4771475,SID550712,False,,
FW000008301,2026-08-09 04:28:54,VDR-11599,10.107.53,UNKNOWN,8443,3306,icmp,allow,41041611,47895945,SID184900,False,,IN
FW000008945,2026-08-29T05:34:23,VDR-11047,UNKNOWN,172.16.48.100,443,3389,other,allow,NA,37127287,,False,ALLOW_WEB,RU
FW000026442,06-Aug-2026 11:56:12,LPT-12370,10.97.19,192.168.211.188,135,8443,tcp,allow,28802832,16431185,,N,BLOCK_EXTERNAL_RDP,IN
FW000005721,01/08/2026,LPT-11751,10.64.134,202.251.108.84,80,53,tcp,allow,48755707,21659021,SID331359,no,block_tor_exit,CN
FW000027420,1787041736,LPT-11683,172.16.190.39,192.168.53.57,3306,445,tcp,deny,-18460277,38746517,,0,MONITOR_DB_ACCESS,
FW000021832,04/08/2026 17:49,VDR-11264,999.999.999.999,172.16.247.246.0,3389,53,tcp,allow,47344876,NA,SID772491,False,,US
FW000000737,10/08/2026 08:24,VDR-10599,999.999.999.999,,1433,8080,udp,allow,44624586,1792891,sid914418,False,ALLOW_INTERNAL_DNS,IN
FW000025249,25/08/2026 04:25,WS-12077,172.16.30.48,113.168.91.146,25,8080,tcp,allow,19476522,-8667081,SID504338,N,allow_office_apps,US
FW000008944,2026-08-08 02:28:06,VDR-12312,999.999.999.999,172.16.61.25,443,22,tcp,allow,46331420,26933750,,False,NA,RU
FW000007651,2026-08-16 00:06:07,WS-12232,10.38.136.0,,3306,NA,tcp,allow,45992400,23477616,SID-629452,0,BLOCK_EXTERNAL_RDP,CN
FW000008226,08/09/2026 04:56,WS-10325,10.13.214,90.101.122.41,3389,25,udp,allow,28224587,4949010,SID-518246,False,ALLOW_WEB,
FW000006217,08-01-2026 05:20:40 AM,VDR-12464,172.16.247.35,95.178.8.138.0,3389,NA,tcp,deny,39884181,45143746,sid242697,0,DENY_TELNET,
FW000015063,2026/09/01,,10.232.233.,192.168.198.8,-1,443,tcp,deny,15997880,42134729,SID997151,0,block_tor_exit,unknown
FW000028466,2026-09-08 10:13:05,VDR-10843,10.46.72,192.168.185.116,135,8080,tcp,allow,32713900,25286876,sid763339,False,DENY_TELNET,US
FW000014665,1785583056,VDR-10718,172.16.24.64,192.168.153.88,-4,8080,tcp,allow,44407193,6638209,SID104189,no,BLOCK_EXTERNAL_RDP,CN
FW000011605,2026-08-09 09:35:14,WS-10546,999.999.999.999,10.192.52,3389,445,tcp,allow,NA,,SID335655,False,block_tor_exit,CN
FW000002993,2026/08/26,WS-10252,10-30.87,187.147.89.171,86579,1433,other,allow,36283679,-45801829,SID714560,False,,unknown
FW000005101,29-Aug-2026 21:33:23,,172.16.127.6,192-168.243.173,3389,3389,icmp,allow,24938196,46204596,,no,block_tor_exit,IN
FW000000429,1786132508,LPT-11011,159.186.89.212.0,999.999.999.999,NA,443,tcp,allow,33029976,11744013,SID882944,False,UNKNOWN,CN
FW000028507,2026-08-28 17:47:03,LPT-10854,10.148.230,192.168.66.78.0,445,-4,tcp,deny,19069910,,SID940336,True,,
FW000004161,2026-08-18 23:38:59,VDR-10482,10.87.211,172.16.220.49,443,8080,other,allow,35873798,46934177,SID-670517,False,ALLOW_INTERNAL_DNS,IN
FW000007101,2026-08-09T18:46:12,LPT-11055,192.168.11.62,10.249.161,3389,25,tcp,allow,49461329,1572864,SID538498,False,,CN
FW000022267,02/08/2026 12:14,LPT-10356,172-16.119.91,152.71.247.39,8080,443,tcp,deny,18652452,32388589,SID329262,False,,
FW000019303,2026/09/02,,10.49.232,10.169.98,3389,76403,tcp,allow,19202469,25842703,SID998455,False,ALLOW_INTERNAL_DNS,US
FW000017610,1788732698,LPT-11870,UNKNOWN,121.108.104.116,22,53,icmp,allow,28163533,23915413,SID-692608,False,,RU
FW000020256,,WS-11243,172-16.218.56,10.105.86,1433,8443,udp,allow,NA,38452978,sid888925,True,ALLOW_INTERNAL_DNS,IN
FW000012297,09-01-2026 10:34:04 PM,VDR-12883,,,3306,443,tcp,deny,45935403,28110039,SID281899,0,UNKNOWN,IN
FW000024319,2026-08-31 08:22:36,LPT-12158,155.90.72.156,143.107.18.136,135,443,icmp,allow,-3187321,18182307,SID364978,N,NA,unknown
FW000001792,23/08/2026 18:55,WS-12992,10.202.128,86.97.154.216,3306,-1,tcp,deny,40398389,34226001,SID-691786,False,DENY_TELNET,unknown
FW000000897,1787798400,LPT-10909,192.168.184.129.0,192.168.136.175,80,80,tcp,allow,44199203,NA,NA,N,UNKNOWN,
FW000022843,2026-08-01T10:34:33,VDR-11632,10.176.66,11.154.83.112,445,443,icmp,deny,37401471,6807637,SID733944,False,UNKNOWN,US
FW000026906,08-18-2026 11:40:19 PM,WS-10602,192.168.203.7,80.162.192.16,1433,3389,tcp,allow,48015126,37787701,SID867802,False,BLOCK_EXTERNAL_RDP,RU
FW000001599,1788195326,VDR-11575,172.16.64.157.0,21.61.48.53,135,1433,tcp,allow,16728092,NA,SID477233,N,block_tor_exit,IN
FW000011118,2026-08-08T10:51:12,WS-11806,UNKNOWN,10.15.228,-1,53,tcp,allow,3287023,44813546,SID563073,False,block_tor_exit,US
FW000002880,2026-08-04T16:32:06,WS-11564,192.168.202.246,10.3.89,443,3389,other,allow,31032243,29371865,SID819389,no,BLOCK_EXTERNAL_RDP,US
FW000024131,2026-08-02T11:29:59,VDR-10231,999.999.999.999,175.114.149.222,8443,8080,tcp,deny,1256036,37476384,SID898422,False,BLOCK_EXTERNAL_RDP,unknown
FW000009419,09/09/2026,VDR-12200,10.167.152,172.16.119.167,NA,1433,tcp,allow,11046062,37170715,SID250529,0,DENY_TELNET,US
FW000027731,01-Sep-2026 04:11:01,LPT-12755,58.83.187.197,42.144.53.162.0,8080,53,other,deny,37747537,40548433,SID395360,False,,US
FW000028977,2026-09-07 19:03:07,WS-10941,192-168.114.241,10.145.16,8080,445,udp,allow,1955811,48806639,SID109124,False,DENY_TELNET,
FW000028680,1788287952,VDR-11082,UNKNOWN,27.125.234.20,8443,-2,tcp,allow,14088416,27295606,SID574481,no,,IN
FW000010945,23/08/2026 01:20,VDR-12017,10-90.199,192.168.228.127,8080,NA,tcp,allow,21083845,,SID921722,N,DENY_TELNET,IN
FW000028092,2026-08-29 18:21:57,WS-12037,182.25.98.,,443,25,tcp,allow,38066762,NA,SID145416,False,ALLOW_INTERNAL_DNS,IN
FW000011538,08-25-2026 07:17:24 AM,WS-10049,172.16.156.49,192.168.181.72,135,8443,icmp,allow,32172881,-18354392,SID809607,False,NA,RU
FW000012147,07/08/2026 15:47,LPT-10076,10-11.177,192.168.106.69,90539,445,tcp,deny,37478215,42729472,SID811306,False,DENY_TELNET,US
FW000026086,2026-08-09T14:52:46,,192.168.17.39,10.187.76,80,8080,tcp,deny,48054142,47499231,,False,allow_office_apps,IN
FW000014162,08/08/2026 04:02,,10.119.127,217.52.12.178.0,80,53,tcp,allow,49565083,37181194,SID-708407,False,allow_office_apps,unknown
FW000024683,2026/08/23,VDR-11343,78.232.212.230,192.168.143.146,NA,22,udp,allow,4563739,11806965,SID409076,False,allow_office_apps,US
FW000005743,,VDR-10503,10.182.114.,214.211.176.212,8443,53,tcp,allow,43818265,15868370,SID457382,True,DENY_TELNET,
FW000004739,09/09/2026,LPT-12743,172.16.180.233,192.168.221.59,53,25,tcp,allow,9896265,35786415,SID772015,False,UNKNOWN,
FW000007199,2026-08-22 22:29:51,LPT-10437,172.16.102.184,189.240.208.35,443,3389,other,allow,19236904,19563255,SID333254,False,BLOCK_EXTERNAL_RDP,
FW000005816,,WS-12447,183.190.197.113.0,148-240.19.234,22,0,tcp,allow,2002780,-43423976,,False,allow_office_apps,unknown
FW000026881,09-Sep-2026 05:18:45,LPT-10616,,10.109.191.,135,NA,other,allow,41248016,29169346,SID950116,False,,IN
FW000011098,03/08/2026 20:11,LPT-11805,UNKNOWN,70-81.83.173,25,1433,udp,allow,27931877,29470677,,False,DENY_TELNET,unknown
FW000014470,07/08/2026,WS-10814,86.88.100.11,111.217.51.161.0,443,8080,icmp,deny,27022586,8230325,SID531136,False,DENY_TELNET,
FW000006423,08-21-2026 11:03:00 AM,WS-11041,214.0.129.63,999.999.999.999,445,80,tcp,allow,32531283,-15788858,SID521609,False,allow_office_apps,unknown
FW000018798,09-08-2026 10:25:43 AM,VDR-12436,172.16.252.155,159.195.194.93,135,3306,tcp,allow,38407000,17289618,SID706740,False,allow_office_apps,
FW000023495,1787942805,WS-11895,192.168.199.223,172.16.55.96,NA,25,tcp,allow,15625326,30746779,SID865127,no,DENY_TELNET,
FW000013084,2026-09-04 03:08:38,LPT-12778,10.241.63,,3306,-3,tcp,allow,49133102,,SID-463585,False,DENY_TELNET,
FW000016566,08-21-2026 05:36:16 AM,WS-12723,10.187.231.0,10.99.115,8080,NA,other,deny,33640403,494249,SID585639,no,allow_office_apps,
FW000025408,2026-08-11 02:50:49,WS-10074,10.141.43.,,-2,445,tcp,allow,8175385,,SID851313,False,UNKNOWN,RU
FW000019613,08-24-2026 05:14:21 PM,LPT-11710,46.226.94.208.0,172.16.149.204,-4,22,tcp,allow,25444675,21535163,SID-623901,N,allow_office_apps,IN
FW000007470,15/08/2026 02:57,LPT-11903,UNKNOWN,210.6.231.19,73713,,udp,allow,20639347,47857019,SID335255,False,allow_office_apps,RU
FW000022385,1785734985,WS-12204,UNKNOWN,10.108.88.,-1,77403,tcp,allow,7524075,41374539,SID492908,False,MONITOR_DB_ACCESS,IN
FW000023078,2026-08-04 06:22:35,VDR-12247,192.168.233.252,200.41.66.155,NA,445,tcp,allow,-32613263,46342016,SID702175,N,NA,
FW000024125,1785725291,LPT-12520,192.168.209.155,172.16.170.74,445,8080,tcp,allow,35896461,11041137,,False,BLOCK_EXTERNAL_RDP,
FW000012478,1788180614,,UNKNOWN,10.5.227,0,-2,tcp,deny,49544779,34036638,SID588800,False,DENY_TELNET,
FW000003101,1788589997,VDR-11843,999.999.999.999,112.28.222.134,22,53,other,allow,19547080,38057550,,False,ALLOW_INTERNAL_DNS,CN
FW000015212,,LPT-11627,192.168.237.,UNKNOWN,445,8443,tcp,allow,47729438,23535307,sid458433,False,ALLOW_INTERNAL_DNS,IN
FW000013372,08-03-2026 04:57:17 PM,VDR-10631,,172.16.2.114,1433,53,other,allow,-26006510,28163109,SID753399,0,block_tor_exit,US
FW000007118,2026-09-03 03:33:10,LPT-11478,999.999.999.999,100.43.85.68,445,22,udp,deny,16968285,24056436,SID-314044,False,NA,RU
FW000019700,,WS-12999,192.168.101.233,203.238.166.118.0,25,22,tcp,allow,28370526,,SID850726,0,BLOCK_EXTERNAL_RDP,CN
FW000014620,2026-09-05 22:53:09,LPT-12541,140.175.207.223,50.159.245.89,80,135,tcp,allow,32642170,46976204,SID582115,N,allow_office_apps,RU
FW000010325,1788486540,,192.168.148.34,,3389,8080,tcp,allow,42586323,38661404,NA,False,ALLOW_INTERNAL_DNS,IN
FW000007754,16/08/2026 20:41,VDR-10743,172.16.97.250,172.16.57.8,3389,NA,other,deny,9705491,3140613,,no,,RU
FW000006290,2026-08-07T01:21:56,VDR-12732,112.159.19.211,,25,,other,deny,20618445,23340422,SID937475,True,allow_office_apps,RU
FW000007970,2026-08-23 19:19:28,LPT-12542,10.103.62,172-16.97.36,80,0,udp,allow,3107576,45525887,SID254504,False,block_tor_exit,
FW000019212,07/09/2026 16:33,VDR-10005,192.168.163.43,206.163.113.126.0,22,80,tcp,allow,20524979,17871476,SID335762,N,allow_office_apps,US
FW000004956,1785960340,VDR-11394,52.159.12.248,192-168.8.54,3389,8443,tcp,allow,,9709813,SID531143,False,DENY_TELNET,
FW000010100,2026-08-06 12:34:37,WS-12337,10.55.211,172.16.237.206,88594,135,tcp,deny,44010127,48244791,NA,N,MONITOR_DB_ACCESS,US
FW000000424,07-Aug-2026 03:35:54,WS-12913,UNKNOWN,170.84.241.160,NA,53,tcp,allow,10245765,32808929,sid639238,False,ALLOW_INTERNAL_DNS,RU
FW000009792,2026-08-21T09:08:06,LPT-12951,192.168.188.85,192.168.110.6,80,3389,tcp,allow,11743248,23239715,sid706195,False,BLOCK_EXTERNAL_RDP,
FW000013186,2026-09-09T06:29:59,VDR-11265,10.141.146,81.211.42.17,96642,25,other,deny,22995574,11572573,SID707580,0,ALLOW_WEB,US
FW000017529,04/09/2026 14:48,LPT-11842,124.5.106.189,192.168.25.125,22,53,udp,allow,30822159,13547876,,False,UNKNOWN,
FW000011267,,VDR-12095,10.248.80,172.16.132.188,8443,135,other,allow,,251658,sid890237,False,ALLOW_INTERNAL_DNS,US
FW000013721,,VDR-10698,10.19.178,10.27.40,443,1433,tcp,allow,16148070,43448846,SID254382,False,ALLOW_WEB,IN
FW000027402,,LPT-10183,172.16.47.248,34.114.133.,135,-1,other,allow,13289567,49885990,NA,False,UNKNOWN,CN
FW000013210,2026-08-03 20:32:41,VDR-12218,192.168.14.27,10.77.226,NA,135,tcp,allow,39304732,,SID770400,False,UNKNOWN,CN
FW000026987,2026-08-02 04:45:18,WS-12874,89.183.221.141,176.192.189.228,443,3306,tcp,deny,46859974,22567252,SID464275,False,NA,unknown
FW000026621,1786563871,LPT-12634,10.253.232.,81.205.45.5,445,443,other,allow,30871570,20831007,SID436969,no,NA,IN
FW000014922,01/08/2026 03:45,WS-11711,172.16.196.39,72.207.246.231,22,,other,allow,21654775,44251759,SID992364,False,allow_office_apps,IN
FW000006426,15/08/2026 08:13,VDR-10482,192.168.221.141,193.45.150.160,8443,22,tcp,allow,32647570,12818871,SID282487,N,block_tor_exit,
FW000028816,,LPT-11156,172.16.25.,122.69.111.61,80,22,tcp,allow,18660537,45148377,SID100947,False,block_tor_exit,IN
FW000007476,2026-09-03T22:45:39,VDR-12075,10.121.220,127.173.176.,1433,53,tcp,allow,1896224,4611336,,False,UNKNOWN,IN
FW000010884,08-24-2026 03:54:36 AM,VDR-10736,10.42.62,10.84.42.,22,445,tcp,deny,16505377,27711098,SID603359,False,ALLOW_INTERNAL_DNS,unknown
FW000010557,09-Aug-2026 23:11:21,WS-10476,190.240.19.92,81.116.7.4,-3,,other,deny,49108319,32002037,SID381305,False,NA,IN
FW000007919,06/08/2026 09:05,WS-11936,10.102.202,95.95.44.149,0,NA,tcp,deny,9392855,35270562,sid288467,True,ALLOW_INTERNAL_DNS,RU
FW000005115,2026-09-09 17:39:44,LPT-11259,192.168.209.18.0,172-16.99.53,53,443,tcp,deny,41605831,26938568,SID720221,N,BLOCK_EXTERNAL_RDP,CN
FW000001617,1788847774,VDR-12893,216.237.162.72,189.28.52.148,88085,3389,other,allow,36958003,32082309,SID872670,False,UNKNOWN,CN
FW000028756,,LPT-12250,10.190.205,197.88.174.175,8443,1433,tcp,allow,38002127,44767243,SID736208,no,BLOCK_EXTERNAL_RDP,US
FW000020131,2026-08-19 02:45:11,LPT-11156,999.999.999.999,49.144.107.164,135,1433,icmp,allow,29871683,27287529,SID360727,False,ALLOW_INTERNAL_DNS,
FW000000937,2026-08-27 23:26:41,VDR-12706,192.168.229.22.0,192-168.145.206,98972,8443,udp,deny,27859792,29611786,SID710702,False,block_tor_exit,US
FW000005223,2026-09-07T09:42:20,LPT-12135,192.167.240.74,187-127.82.131,445,-2,other,allow,8886600,4866308,,False,NA,
FW000016554,31-Aug-2026 18:57:45,LPT-11753,UNKNOWN,,3306,8443,icmp,allow,2875713,49686498,SID190983,False,NA,US
FW000025692,,LPT-10897,192-168.114.14,999.999.999.999,87600,445,tcp,allow,14802745,-28663378,SID174243,False,,RU
FW000016279,04/09/2026 14:41,VDR-12091,19.9.121.17,172.16.1.46.0,135,135,udp,allow,18259066,39429235,SID-642825,False,NA,US
FW000029742,2026/08/08,WS-10413,,72.79.78.146,53,3306,tcp,allow,22187817,39533277,,True,ALLOW_WEB,IN
FW000010828,1788409828,WS-10982,192.168.12.83,106.221.97.7,,443,tcp,allow,20702733,39443284,SID174628,False,,
FW000027016,07/09/2026 08:40,VDR-10847,192.168.51.62,UNKNOWN,25,1433,other,deny,-43232577,,SID587955,N,ALLOW_WEB,unknown
FW000019780,08-02-2026 08:16:27 PM,VDR-11455,999.999.999.999,161.67.163.,135,-4,tcp,allow,31581284,33014801,SID427888,N,block_tor_exit,RU
FW000021953,15/08/2026 11:48,LPT-10935,135.185.206.228,UNKNOWN,79917,445,tcp,deny,44754635,40765367,SID-862329,N,NA,
FW000018469,27-Aug-2026 15:55:46,LPT-11631,10.231.82,192.168.123.82,NA,,icmp,allow,38366300,14094271,sid635039,False,block_tor_exit,
FW000013252,2026-08-27T06:19:13,LPT-12766,10-121.68,81.6.74.51,0,86388,tcp,deny,6487756,7880652,,False,MONITOR_DB_ACCESS,IN
FW000020518,02/09/2026 21:12,LPT-10055,10.207.144.,32.95.63.179,8080,445,other,allow,46056402,31243264,SID117225,False,NA,IN
FW000025949,2026-08-07T22:39:49,VDR-11167,50.201.161.120,67.4.49.,3389,135,other,deny,12489651,23765304,SID-263037,False,NA,
FW000016657,08-02-2026 03:56:12 AM,LPT-10041,172.16.183.248,999.999.999.999,69896,3389,tcp,deny,48891316,21915238,SID810055,Y,allow_office_apps,IN
FW000009990,2026-08-01 09:40:46,VDR-11566,999.999.999.999,192.168.87.21,25,443,tcp,allow,NA,32850442,SID359252,N,UNKNOWN,unknown
FW000019917,2026-08-24 07:26:50,LPT-12597,999.999.999.999,23.122.193.207,8080,8080,other,allow,10426919,46813530,SID590281,False,ALLOW_INTERNAL_DNS,
FW000003602,2026-08-29 07:37:27,LPT-11131,192.168.121.114.0,10.168.182,80,8443,tcp,allow,32417960,45857679,SID934827,False,BLOCK_EXTERNAL_RDP,RU
FW000001110,08-29-2026 05:14:57 PM,WS-12756,192.168.12.8,134.84.129.207,-3,0,other,allow,14289743,11950559,SID-589556,False,,RU
FW000025645,09-09-2026 04:54:45 PM,LPT-11539,172.16.191.145.0,999.999.999.999,NA,8080,tcp,allow,37245037,48508794,SID485150,False,,
FW000002237,23/08/2026 22:40,WS-10078,99.34.218.231,66.220.93.237,53,,tcp,deny,42485823,33615978,SID821927,False,UNKNOWN,RU
FW000001805,08-09-2026 08:22:37 AM,WS-12745,192.168.178.173.0,172.16.231.153,8443,8443,udp,allow,16779659,7610736,SID747871,1,UNKNOWN,IN
FW000017143,10/08/2026,WS-12606,172.16.65.19.0,94.91.182.188,443,445,udp,allow,5157847,31203519,SID324146,False,MONITOR_DB_ACCESS,US
FW000029553,,LPT-11904,10.20.122,207.250.199.98,,95317,tcp,allow,,14428190,SID187947,no,ALLOW_INTERNAL_DNS,US
FW000020682,1787532213,VDR-12835,192.168.210.95,172.16.159.,1433,96677,other,allow,30295352,36339153,SID314706,False,BLOCK_EXTERNAL_RDP,RU
FW000007673,08/08/2026 00:24,WS-10319,10.159.61,171.143.153.28,,-2,other,allow,162917,49496219,SID-154021,False,,unknown
FW000009074,06/08/2026,VDR-11812,10.238.245.,172.16.48.20.0,86660,8443,icmp,allow,37511449,9743974,SID391164,Y,UNKNOWN,CN
FW000023400,2026-08-10 13:31:49,,172.16.98.103,173.203.77.37,3389,,tcp,deny,46661632,41459159,SID732948,False,NA,US
FW000000097,2026-09-08 23:51:38,VDR-10473,10.208.93,134-36.40.220,22,445,tcp,deny,44695582,22670583,SID290459,no,ALLOW_INTERNAL_DNS,US
FW000021215,15/08/2026 08:56,WS-10305,15.7.201.115,128.245.66.71,-3,8443,tcp,allow,NA,,SID578597,True,ALLOW_INTERNAL_DNS,IN
FW000017513,07/09/2026 19:22,VDR-11933,192.168.166.,107.22.134.145,82382,,tcp,allow,12181231,NA,NA,0,block_tor_exit,US
FW000029667,08/08/2026,WS-12756,10.4.77.0,172.16.52.22,22,8443,other,allow,,11989372,SID-868923,False,UNKNOWN,CN
FW000028019,2026-08-06T06:32:06,WS-10831,10.103.161,40.49.202.18,88149,53,other,allow,37480619,-30751524,SID559404,False,ALLOW_INTERNAL_DNS,US
FW000004392,2026-08-28 13:55:16,,172.16.148.37,167.122.66.144,NA,NA,udp,allow,6161009,17338232,SID766441,False,ALLOW_WEB,
